City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Dinghai,CN,26.2847,119.7936,65.32,91,100,12.03,overcast clouds
79,Seoul,KR,37.5683,126.9778,42.24,87,20,2.3,few clouds
80,Mataura,NZ,-46.1927,168.8643,58.48,77,6,3.27,clear sky
81,Kopervik,NO,59.2835,5.3067,53.91,93,100,4.61,mist
82,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,74,0,18.41,clear sky
83,Saint-Philippe,RE,-21.3585,55.7679,71.19,79,94,15.93,light rain
84,Cutlerville,US,42.8409,-85.6636,39.22,61,100,8.05,overcast clouds
85,Airai,TL,-8.9266,125.4092,61.38,87,42,1.72,scattered clouds
86,Port Said,EG,31.2565,32.2841,71.58,68,20,9.22,few clouds
87,Byron Bay,AU,-28.65,153.6167,62.71,76,0,7.7,clear sky
88,Hermanus,ZA,-34.4187,19.2345,64.8,67,100,3.89,overcast clouds
89,Mayo,US,38.8876,-76.5119,50.2,47,0,5.75,clear sky
90,Urumqi,CN,43.801,87.6005,27.55,93,0,2.24,clear sky
91,Biak,ID,-0.9131,122.8766,76.98,81,100,1.72,overcast clouds
92,Souillac,MU,-20.5167,57.5167,75.58,60,75,9.22,light intensity shower rain
93,Urubicha,BO,-15.3833,-62.95,91.53,42,95,2.15,heavy intensity rain
94,Salinopolis,BR,-0.6136,-47.3561,82.71,73,37,11.12,scattered clouds
95,Lebu,CL,-37.6167,-73.65,61.27,78,88,8.1,overcast clouds
96,Atuona,PF,-9.8,-139.0333,77.13,80,12,18.32,few clouds
97,Haines Junction,CA,60.7522,-137.5108,37.35,81,67,5.75,broken clouds
98,Digby,CA,44.6169,-65.7655,39.58,68,100,21.56,overcast clouds
99,Banda Aceh,ID,5.5577,95.3222,78.01,81,100,4.65,overcast clouds
100,Witu,KE,-2.3889,40.4382,80.76,85,100,5.35,overcast clouds
101,Alice Springs,AU,-23.7,133.8833,58.55,63,16,6.91,few clouds
102,Cabedelo,BR,-6.9811,-34.8339,84.87,71,46,12.12,scattered clouds
103,Skjervoy,NO,70.0311,20.9714,39.2,69,100,15.19,overcast clouds
104,Hithadhoo,MV,-0.6,73.0833,81.86,76,100,15.77,overcast clouds
105,Morondava,MG,-20.2833,44.2833,81.05,78,98,13.11,light rain
106,Viedma,AR,-40.8135,-62.9967,78.03,22,100,14.18,overcast clouds
107,Montrose,US,38.4166,-108.2673,24.73,42,83,10.69,broken clouds
108,Pimentel,PE,-6.8367,-79.9342,73.69,60,20,16.11,few clouds
109,Ekhabi,RU,53.5102,142.9671,22.55,95,100,5.88,light snow
110,Chapais,CA,49.7834,-74.8492,24.58,85,100,10.25,overcast clouds
111,Mar Del Plata,AR,-38.0023,-57.5575,60.87,95,100,19.57,drizzle
112,Tasiilaq,GL,65.6145,-37.6368,29.73,97,100,2.51,overcast clouds
113,East London,ZA,-33.0153,27.9116,67.14,77,0,13.8,clear sky
114,Pitimbu,BR,-7.4706,-34.8086,84.79,71,31,12.08,scattered clouds
115,Abu Dhabi,AE,24.4667,54.3667,84.22,58,0,4.61,clear sky
116,San Andres,CO,12.5847,-81.7006,84.22,79,75,16.11,broken clouds
117,Hobyo,SO,5.3505,48.5268,80.6,69,10,13.42,clear sky
118,Luderitz,NA,-26.6481,15.1594,62.04,86,0,4.92,clear sky
119,Bambanglipuro,ID,-7.95,110.2833,74.37,92,100,2.01,overcast clouds
120,Klaksvik,FO,62.2266,-6.589,50.92,93,100,29.12,light rain
121,Camacha,PT,33.0833,-16.3333,65.62,83,20,4.61,few clouds
122,Caravelas,BR,-17.7125,-39.2481,81.28,70,15,12.12,few clouds
123,Tuatapere,NZ,-46.1333,167.6833,56.93,74,100,7.16,overcast clouds
124,La Asuncion,VE,11.0333,-63.8628,82.49,76,100,14.03,light rain
125,Sambava,MG,-14.2667,50.1667,73.94,85,23,6.49,few clouds
126,Talnakh,RU,69.4865,88.3972,-24.21,87,31,4.05,scattered clouds
127,Lorengau,PG,-2.0226,147.2712,81.48,79,100,5.75,overcast clouds
128,Salalah,OM,17.0151,54.0924,78.89,65,0,4.61,clear sky
129,Canita,PA,9.2097,-78.8811,79.66,91,100,6.58,moderate rain
130,Agirish,RU,61.9247,63.0231,5.45,93,100,12.26,overcast clouds
131,Victoria,HK,22.2855,114.1577,76.32,79,100,10.0,overcast clouds
132,Bakong,CM,5.0935,10.4852,64.42,84,95,2.57,overcast clouds
133,Yellowknife,CA,62.456,-114.3525,21.72,93,100,4.61,overcast clouds
134,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,93,100,13.8,light snow
135,Alofi,NU,-19.0595,-169.9187,76.89,88,75,9.22,broken clouds
136,Tecoanapa,MX,16.5167,-98.75,84.61,68,24,8.95,few clouds
137,Bambous Virieux,MU,-20.3428,57.7575,75.45,60,75,9.22,light intensity shower rain
138,South Houston,US,29.663,-95.2355,66.97,91,100,14.97,light rain
139,Bereda,ES,43.2686,-7.5406,54.57,88,100,10.63,overcast clouds
140,Miri,MY,4.4148,114.0089,75.34,94,40,2.3,light rain
141,Boyolangu,ID,-8.1181,111.8935,74.52,96,100,1.95,overcast clouds
142,Atar,MR,20.5169,-13.0499,84.42,15,26,11.79,scattered clouds
143,Moron,AR,-34.6534,-58.6198,74.8,62,76,13.65,broken clouds
144,Nakamura,JP,32.9833,132.9333,50.79,76,100,4.61,overcast clouds
145,Esperance,AU,-33.8667,121.9,54.18,85,33,8.7,scattered clouds
146,Sorong,ID,-0.8833,131.25,79.0,86,68,6.64,broken clouds
147,Kapaa,US,22.0752,-159.319,77.09,86,20,13.8,few clouds
148,Faanui,PF,-16.4833,-151.75,77.97,81,100,10.31,light rain
149,Falmouth,GB,50.1544,-5.0711,56.66,86,75,18.41,broken clouds
150,Provideniya,RU,64.3833,-173.3,22.5,89,100,7.23,overcast clouds
151,Qaanaaq,GL,77.484,-69.3632,-6.09,68,14,6.82,few clouds
152,Sitka,US,57.0531,-135.33,46.29,76,100,12.66,moderate rain
153,Norman Wells,CA,65.282,-126.8329,14.04,85,75,4.61,broken clouds
154,Hay River,CA,60.8156,-115.7999,17.58,93,75,8.05,broken clouds
155,Konde,TZ,-4.95,39.75,77.2,82,4,3.49,clear sky
156,Cayenne,GF,4.9333,-52.3333,87.84,62,75,14.97,broken clouds
157,Khatanga,RU,71.9667,102.5,-15.0,97,100,12.71,overcast clouds
158,Wenzhou,CN,27.9994,120.6668,60.08,90,100,2.64,overcast clouds
159,Asau,RO,46.4333,26.4,42.28,92,46,1.48,scattered clouds
160,Busselton,AU,-33.65,115.3333,51.84,82,0,11.88,clear sky
161,Yeppoon,AU,-23.1333,150.7333,71.38,89,0,3.15,clear sky
162,Solotcha,RU,54.7917,39.8442,29.5,73,7,9.28,clear sky
163,Yumen,CN,40.2833,97.2,32.04,34,57,4.76,broken clouds
164,San Patricio,US,28.017,-97.5169,78.66,82,100,9.42,overcast clouds
165,Mojoagung,ID,-7.5667,112.35,76.08,94,100,3.29,overcast clouds
166,Katsuura,JP,35.1333,140.3,59.4,75,100,13.76,overcast clouds
167,Abu Samrah,SY,35.3029,37.1841,65.28,48,30,6.13,scattered clouds
168,Kavaratti,IN,10.5669,72.642,80.33,79,94,11.92,overcast clouds
169,Kalemie,CD,-5.9475,29.1947,71.28,79,52,2.28,broken clouds
170,Vila Velha,BR,-20.3297,-40.2925,84.15,82,40,20.71,very heavy rain
171,Xichang,CN,27.8964,102.2634,49.51,80,0,1.32,clear sky
172,Ornskoldsvik,SE,63.2909,18.7153,38.35,93,75,5.75,broken clouds
173,Leningradskiy,RU,69.3833,178.4167,10.98,87,100,4.85,overcast clouds
174,Codrington,AU,-38.2667,141.9667,48.94,61,100,17.09,overcast clouds
175,Balkhash,KZ,46.844,74.9804,41.56,90,100,20.96,overcast clouds
176,Qiongshan,CN,20.0058,110.3542,75.18,94,75,8.95,mist
177,Hami,CN,42.8,93.45,36.18,42,100,5.28,overcast clouds
178,Pesqueria,MX,25.7833,-100.05,83.19,43,0,3.42,clear sky
179,Hurghada,EG,27.2574,33.8129,75.24,50,0,13.8,clear sky
180,Moerai,PF,-22.4333,-151.3333,69.08,77,100,12.1,overcast clouds
181,Nago,JP,26.5881,127.9761,70.23,80,100,10.0,overcast clouds
182,Ponta Delgada,PT,37.7333,-25.6667,68.5,94,75,13.8,light intensity drizzle
183,Samarai,PG,-10.6167,150.6667,81.54,78,62,7.14,broken clouds
184,Nome,US,64.5011,-165.4064,6.87,78,0,0.0,clear sky
185,Daru,PG,-9.0763,143.2092,79.48,85,100,6.55,overcast clouds
186,Jiutai,CN,44.1525,125.8328,21.54,94,5,3.6,clear sky
187,Zaraza,VE,9.3503,-65.3245,84.58,70,100,3.09,overcast clouds
188,Baykit,RU,61.67,96.37,-5.13,97,97,3.89,overcast clouds
189,Clyde River,CA,70.4692,-68.5914,-1.97,84,20,10.36,few clouds
190,Hibbing,US,47.4272,-92.9377,24.57,74,100,9.22,overcast clouds
191,Bowen,AU,-20.0167,148.2333,76.32,78,43,3.87,scattered clouds
192,College,US,64.8569,-147.8028,27.59,91,100,4.61,light snow
193,Miranda De Ebro,ES,42.6865,-2.947,57.99,65,100,11.43,overcast clouds
194,Manokwari,ID,-0.8667,134.0833,79.05,79,100,6.13,overcast clouds
195,Baker City,US,44.7749,-117.8344,44.64,80,100,10.36,overcast clouds
196,Fleetwood,GB,53.9253,-3.0109,55.04,94,75,1.14,broken clouds
197,Zverinogolovskoye,RU,54.4586,64.8542,34.29,98,100,8.68,light snow
198,Severo-Kurilsk,RU,50.6789,156.125,33.89,95,100,18.1,light snow
199,Nuuk,GL,64.1835,-51.7216,27.88,100,100,8.01,overcast clouds
200,Sept-Iles,CA,50.2001,-66.3821,29.05,87,100,10.36,overcast clouds
201,Doka,SD,13.5167,35.7667,82.27,34,0,8.68,clear sky
202,Lasa,IT,46.6166,10.7002,43.68,87,89,0.45,overcast clouds
203,Umm Lajj,SA,25.0213,37.2685,78.62,63,6,7.72,clear sky
204,Ilulissat,GL,69.2167,-51.1,10.36,96,100,4.56,overcast clouds
205,Dingle,PH,10.9995,122.6711,76.03,92,100,6.93,moderate rain
