City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
583,Katherine,AU,79.12,overcast clouds,-14.4667,132.2667,Pine Tree Motel
584,Kimbe,PG,74.16,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
586,Innisfail,AU,73.29,overcast clouds,-17.5333,146.0333,Moondarra Motel
587,Mayumba,GA,77.38,broken clouds,-3.432,10.6554,LIKWALE LODGE
588,Peniche,PT,63.28,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
590,Awbari,LY,62.74,clear sky,26.5921,12.7805,استراحة الشارب العائلي
594,Coolum Beach,AU,68.11,broken clouds,-26.5333,153.1,Coolum Beach Resort
597,Hualmay,PE,69.19,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
601,Talcahuano,CL,65.88,scattered clouds,-36.7167,-73.1167,departamento comodo
602,Naze,JP,65.1,broken clouds,28.3667,129.4833,Shishime Hotel
606,Muisne,EC,76.87,broken clouds,0.6,-80.0333,Quinta Samay
608,Neiafu,TO,75.87,moderate rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
609,Buala,SB,78.66,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
615,Boundiali,CI,77.09,light rain,9.5217,-6.4869,Hotel Paysan Boundiali
616,Japura,ID,74.17,moderate rain,-0.3167,102.35,Rumah mbah Jamah
617,Ishigaki,JP,74.64,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
618,Pacifica,US,59.83,scattered clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
623,Robertsport,LR,79.92,light rain,6.7533,-11.3686,Kwepunha Retreat
624,Hokitika,NZ,57.58,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
626,Ginir,ET,56.43,clear sky,7.1333,40.7,Sura Dare Village
628,Kampong Chhnang,KH,75.29,overcast clouds,12.1667,104.55,ផ្ទះសំណាក់ហេងស្រស់
629,Sal Rei,CV,77.2,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
630,Pithapuram,IN,71.1,broken clouds,17.1167,82.2667,Srinivasa Rice Industry
633,Arona,ES,73.98,clear sky,28.0996,-16.681,Paradise Court
634,Ortona,IT,55.38,scattered clouds,42.3496,14.4039,La Casa del Palombaro
635,Batticaloa,LK,77.02,light rain,7.7102,81.6924,Treatooo Hotel
638,Warri,NG,79.92,light rain,5.5167,5.75,GT Guesthouse
639,Mananjary,MG,72.68,light rain,-21.2167,48.3333,Vahiny Lodge
641,Luanda,AO,76.42,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
643,Tessaoua,NE,76.26,clear sky,13.7574,7.9874,Benin Dan Kaabou Heberge
644,Rialma,BR,79.7,broken clouds,-15.315,-49.5844,Don Antonio Hotel
645,Royal Leamington Spa,GB,54.68,overcast clouds,52.3,-1.5333,"Holiday Inn Leamington Spa - Warwick, an IHG Hotel"
650,Carballo,ES,62.76,overcast clouds,43.213,-8.691,Pazo do Souto
651,Naron,ES,62.02,overcast clouds,43.5167,-8.1528,Marcial
652,Muncar,ID,75.22,overcast clouds,-8.4333,114.3333,Zaky Homestay
655,Santa Maria,BR,78.1,broken clouds,-29.6842,-53.8069,Hotel Morotin
656,Moranbah,AU,73.44,clear sky,-22.0016,148.0466,Property Vine - Monterey Moranbah
658,Palu,ID,75.94,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
659,Kundiawa,PG,61.93,overcast clouds,-6.0167,144.9667,Pari
662,Kelso,US,52.72,clear sky,46.1468,-122.9084,GuestHouse Kelso Longview
663,Ndjole,GA,75.42,moderate rain,-0.1783,10.7649,Motel Kédyann
667,Makakilo City,US,77.99,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
